,MVT_GT_Austin TX
2015-02-01 00:00:00,52
2015-05-01 00:00:00,40
2015-06-01 00:00:00,68
2015-10-01 00:00:00,47
2015-12-01 00:00:00,31
2016-02-01 00:00:00,74
2016-03-01 00:00:00,28
2016-04-01 00:00:00,44
2016-05-01 00:00:00,32
2016-09-01 00:00:00,32
2016-10-01 00:00:00,21
2016-11-01 00:00:00,17
2016-12-01 00:00:00,35
2017-01-01 00:00:00,21
2017-02-01 00:00:00,34
2017-03-01 00:00:00,51
2017-04-01 00:00:00,47
2017-05-01 00:00:00,45
2017-06-01 00:00:00,75
2017-07-01 00:00:00,32
2017-08-01 00:00:00,39
2017-09-01 00:00:00,29
2017-10-01 00:00:00,34
2017-11-01 00:00:00,53
2018-01-01 00:00:00,50
2018-02-01 00:00:00,44
2018-03-01 00:00:00,20
2018-04-01 00:00:00,53
2018-05-01 00:00:00,43
2018-06-01 00:00:00,19
2018-07-01 00:00:00,83
2018-08-01 00:00:00,75
2018-09-01 00:00:00,35
2018-10-01 00:00:00,46
2018-11-01 00:00:00,81
2018-12-01 00:00:00,29
2019-01-01 00:00:00,77
2019-02-01 00:00:00,97
2019-04-01 00:00:00,90
2019-05-01 00:00:00,66
2019-07-01 00:00:00,55
2019-08-01 00:00:00,59
2019-09-01 00:00:00,55
2019-10-01 00:00:00,70
2019-11-01 00:00:00,19
2019-12-01 00:00:00,53
2020-01-01 00:00:00,92
2020-02-01 00:00:00,80
2020-03-01 00:00:00,18
2020-04-01 00:00:00,28
2020-05-01 00:00:00,35
2020-07-01 00:00:00,30
2020-08-01 00:00:00,59
2020-09-01 00:00:00,22
2020-10-01 00:00:00,77
2020-11-01 00:00:00,44
2020-12-01 00:00:00,33
2021-01-01 00:00:00,28
2021-02-01 00:00:00,87
2021-03-01 00:00:00,100
2021-04-01 00:00:00,54
2021-05-01 00:00:00,24
2021-06-01 00:00:00,44
2021-07-01 00:00:00,51
2021-08-01 00:00:00,59
2021-09-01 00:00:00,63
2021-10-01 00:00:00,43
2021-11-01 00:00:00,60
2021-12-01 00:00:00,60
2022-01-01 00:00:00,52
2022-02-01 00:00:00,60
2022-03-01 00:00:00,56
2022-04-01 00:00:00,56
2022-05-01 00:00:00,56
2022-06-01 00:00:00,84
2022-07-01 00:00:00,75
2022-08-01 00:00:00,90
2022-09-01 00:00:00,56
2022-10-01 00:00:00,58
2022-11-01 00:00:00,54
2022-12-01 00:00:00,25
