,MVT_GT_New Orleans LA
01/01/2015 00:00:00,55
10/01/2016 00:00:00,55
04/01/2017 00:00:00,41
05/01/2017 00:00:00,49
06/01/2017 00:00:00,47
07/01/2017 00:00:00,40
09/01/2017 00:00:00,60
12/01/2017 00:00:00,53
02/01/2018 00:00:00,50
03/01/2018 00:00:00,35
07/01/2018 00:00:00,66
08/01/2018 00:00:00,47
09/01/2018 00:00:00,60
11/01/2018 00:00:00,41
12/01/2018 00:00:00,100
05/01/2019 00:00:00,62
06/01/2019 00:00:00,54
07/01/2019 00:00:00,45
08/01/2019 00:00:00,51
11/01/2019 00:00:00,90
12/01/2019 00:00:00,55
01/01/2020 00:00:00,82
02/01/2020 00:00:00,70
04/01/2020 00:00:00,61
06/01/2020 00:00:00,33
07/01/2020 00:00:00,32
08/01/2020 00:00:00,49
09/01/2020 00:00:00,34
10/01/2020 00:00:00,36
11/01/2020 00:00:00,60
12/01/2020 00:00:00,44
01/01/2021 00:00:00,35
04/01/2021 00:00:00,52
06/01/2021 00:00:00,35
10/01/2021 00:00:00,40
11/01/2021 00:00:00,38
12/01/2021 00:00:00,38
01/01/2022 00:00:00,54
02/01/2022 00:00:00,96
03/01/2022 00:00:00,34
04/01/2022 00:00:00,69
07/01/2022 00:00:00,46
08/01/2022 00:00:00,45
10/01/2022 00:00:00,36
11/01/2022 00:00:00,59
12/01/2022 00:00:00,55
