,MVT_GT_New Orleans LA
04/01/2016 00:00:00,83
08/01/2016 00:00:00,66
01/01/2017 00:00:00,50
02/01/2017 00:00:00,72
05/01/2017 00:00:00,71
06/01/2017 00:00:00,67
07/01/2017 00:00:00,50
08/01/2017 00:00:00,68
10/01/2017 00:00:00,61
11/01/2017 00:00:00,56
12/01/2017 00:00:00,49
02/01/2018 00:00:00,68
04/01/2018 00:00:00,45
09/01/2018 00:00:00,56
10/01/2018 00:00:00,46
11/01/2018 00:00:00,59
12/01/2018 00:00:00,84
01/01/2019 00:00:00,67
02/01/2019 00:00:00,66
05/01/2019 00:00:00,55
07/01/2019 00:00:00,64
11/01/2019 00:00:00,43
12/01/2019 00:00:00,73
01/01/2020 00:00:00,100
03/01/2020 00:00:00,41
04/01/2020 00:00:00,58
07/01/2020 00:00:00,39
09/01/2020 00:00:00,76
11/01/2020 00:00:00,58
03/01/2021 00:00:00,42
11/01/2021 00:00:00,50
12/01/2021 00:00:00,61
01/01/2022 00:00:00,78
02/01/2022 00:00:00,84
03/01/2022 00:00:00,57
04/01/2022 00:00:00,67
05/01/2022 00:00:00,70
07/01/2022 00:00:00,85
08/01/2022 00:00:00,61
10/01/2022 00:00:00,67
11/01/2022 00:00:00,44
12/01/2022 00:00:00,68
