,MVT_GT_Cincinnati OH
05/01/2015 00:00:00,55
06/01/2015 00:00:00,97
08/01/2015 00:00:00,88
03/01/2016 00:00:00,67
04/01/2016 00:00:00,45
05/01/2016 00:00:00,40
06/01/2016 00:00:00,41
07/01/2016 00:00:00,43
09/01/2016 00:00:00,35
10/01/2016 00:00:00,47
11/01/2016 00:00:00,70
01/01/2017 00:00:00,100
06/01/2017 00:00:00,45
07/01/2017 00:00:00,50
12/01/2017 00:00:00,77
02/01/2018 00:00:00,58
03/01/2018 00:00:00,66
04/01/2018 00:00:00,32
07/01/2018 00:00:00,35
08/01/2018 00:00:00,60
10/01/2018 00:00:00,57
02/01/2019 00:00:00,50
04/01/2019 00:00:00,32
05/01/2019 00:00:00,39
08/01/2019 00:00:00,64
09/01/2019 00:00:00,43
10/01/2019 00:00:00,35
11/01/2019 00:00:00,38
01/01/2020 00:00:00,39
02/01/2020 00:00:00,43
03/01/2020 00:00:00,40
05/01/2020 00:00:00,38
08/01/2020 00:00:00,49
09/01/2020 00:00:00,25
10/01/2020 00:00:00,39
12/01/2020 00:00:00,39
01/01/2021 00:00:00,40
03/01/2021 00:00:00,45
05/01/2021 00:00:00,30
06/01/2021 00:00:00,59
09/01/2021 00:00:00,41
10/01/2021 00:00:00,69
11/01/2021 00:00:00,36
12/01/2021 00:00:00,31
01/01/2022 00:00:00,42
02/01/2022 00:00:00,38
03/01/2022 00:00:00,68
04/01/2022 00:00:00,43
07/01/2022 00:00:00,48
08/01/2022 00:00:00,67
09/01/2022 00:00:00,72
10/01/2022 00:00:00,67
11/01/2022 00:00:00,43
12/01/2022 00:00:00,89
