,MVT_GT_Louisville KY
2015-02-01 00:00:00,29
2015-05-01 00:00:00,55
2015-06-01 00:00:00,43
2015-08-01 00:00:00,77
2015-09-01 00:00:00,63
2016-02-01 00:00:00,100
2016-04-01 00:00:00,39
2016-05-01 00:00:00,27
2016-06-01 00:00:00,26
2016-07-01 00:00:00,69
2016-08-01 00:00:00,80
2016-09-01 00:00:00,33
2016-10-01 00:00:00,63
2016-11-01 00:00:00,49
2017-01-01 00:00:00,100
2017-02-01 00:00:00,29
2017-04-01 00:00:00,59
2017-07-01 00:00:00,28
2017-08-01 00:00:00,20
2017-09-01 00:00:00,27
2017-10-01 00:00:00,31
2017-11-01 00:00:00,41
2018-01-01 00:00:00,17
2018-02-01 00:00:00,24
2018-04-01 00:00:00,25
2018-05-01 00:00:00,41
2018-06-01 00:00:00,30
2018-07-01 00:00:00,24
2018-08-01 00:00:00,17
2018-09-01 00:00:00,52
2018-12-01 00:00:00,33
2019-01-01 00:00:00,28
2019-02-01 00:00:00,24
2019-03-01 00:00:00,14
2019-04-01 00:00:00,19
2019-06-01 00:00:00,28
2019-07-01 00:00:00,45
2019-08-01 00:00:00,43
2019-12-01 00:00:00,31
2020-01-01 00:00:00,29
2020-02-01 00:00:00,14
2020-03-01 00:00:00,52
2020-04-01 00:00:00,23
2020-06-01 00:00:00,20
2020-07-01 00:00:00,23
2020-08-01 00:00:00,31
2020-09-01 00:00:00,31
2020-10-01 00:00:00,15
2020-11-01 00:00:00,67
2020-12-01 00:00:00,56
2021-01-01 00:00:00,68
2021-02-01 00:00:00,38
2021-03-01 00:00:00,52
2021-04-01 00:00:00,52
2021-05-01 00:00:00,34
2021-07-01 00:00:00,47
2021-09-01 00:00:00,47
2021-10-01 00:00:00,29
2021-11-01 00:00:00,26
2021-12-01 00:00:00,15
2022-01-01 00:00:00,66
2022-02-01 00:00:00,38
2022-04-01 00:00:00,30
2022-05-01 00:00:00,46
2022-06-01 00:00:00,60
2022-07-01 00:00:00,31
2022-10-01 00:00:00,52
2022-11-01 00:00:00,15
2022-12-01 00:00:00,25
