,MVT_GT_Tucson AZ
2015-02-01 00:00:00,34
2015-04-01 00:00:00,40
2015-05-01 00:00:00,28
2015-07-01 00:00:00,51
2015-10-01 00:00:00,36
2016-03-01 00:00:00,26
2016-04-01 00:00:00,31
2016-08-01 00:00:00,38
2016-09-01 00:00:00,31
2016-10-01 00:00:00,23
2017-01-01 00:00:00,39
2017-04-01 00:00:00,41
2017-11-01 00:00:00,36
2017-12-01 00:00:00,100
2018-02-01 00:00:00,33
2018-04-01 00:00:00,26
2018-05-01 00:00:00,36
2018-07-01 00:00:00,19
2018-09-01 00:00:00,38
2018-10-01 00:00:00,32
2019-02-01 00:00:00,29
2019-03-01 00:00:00,32
2019-04-01 00:00:00,38
2019-05-01 00:00:00,30
2019-07-01 00:00:00,28
2019-08-01 00:00:00,18
2019-09-01 00:00:00,18
2019-10-01 00:00:00,42
2020-01-01 00:00:00,42
2020-05-01 00:00:00,19
2020-06-01 00:00:00,26
2020-07-01 00:00:00,15
2020-10-01 00:00:00,18
2021-02-01 00:00:00,22
2021-08-01 00:00:00,18
2021-12-01 00:00:00,25
2022-02-01 00:00:00,18
2022-03-01 00:00:00,30
2022-06-01 00:00:00,15
2022-07-01 00:00:00,17
2022-08-01 00:00:00,29
2022-09-01 00:00:00,22
2022-10-01 00:00:00,13
2022-11-01 00:00:00,18
