,MVT_GT_Memphis TN
2015-01-01 00:00:00,27
2015-03-01 00:00:00,31
2016-01-01 00:00:00,37
2016-02-01 00:00:00,54
2016-07-01 00:00:00,52
2016-08-01 00:00:00,40
2016-09-01 00:00:00,24
2016-10-01 00:00:00,65
2016-11-01 00:00:00,46
2017-01-01 00:00:00,43
2017-03-01 00:00:00,16
2017-05-01 00:00:00,49
2017-06-01 00:00:00,33
2017-07-01 00:00:00,98
2017-10-01 00:00:00,62
2017-11-01 00:00:00,55
2017-12-01 00:00:00,49
2018-01-01 00:00:00,51
2018-02-01 00:00:00,47
2018-03-01 00:00:00,37
2018-04-01 00:00:00,71
2018-05-01 00:00:00,24
2018-06-01 00:00:00,18
2018-07-01 00:00:00,64
2018-08-01 00:00:00,100
2018-10-01 00:00:00,18
2018-12-01 00:00:00,33
2019-02-01 00:00:00,30
2019-03-01 00:00:00,61
2019-04-01 00:00:00,30
2019-05-01 00:00:00,34
2019-06-01 00:00:00,29
2019-07-01 00:00:00,24
2019-08-01 00:00:00,48
2019-09-01 00:00:00,49
2019-10-01 00:00:00,40
2019-11-01 00:00:00,52
2019-12-01 00:00:00,29
2020-01-01 00:00:00,40
2020-02-01 00:00:00,14
2020-04-01 00:00:00,29
2020-05-01 00:00:00,26
2020-06-01 00:00:00,34
2020-07-01 00:00:00,45
2020-08-01 00:00:00,32
2020-09-01 00:00:00,56
2020-10-01 00:00:00,17
2020-11-01 00:00:00,45
2020-12-01 00:00:00,39
2021-01-01 00:00:00,27
2021-02-01 00:00:00,27
2021-04-01 00:00:00,14
2021-05-01 00:00:00,17
2021-06-01 00:00:00,33
2021-07-01 00:00:00,76
2021-08-01 00:00:00,59
2021-09-01 00:00:00,22
2021-10-01 00:00:00,35
2021-11-01 00:00:00,24
2021-12-01 00:00:00,27
2022-01-01 00:00:00,23
2022-02-01 00:00:00,32
2022-03-01 00:00:00,16
2022-04-01 00:00:00,38
2022-05-01 00:00:00,51
2022-06-01 00:00:00,74
2022-07-01 00:00:00,57
2022-08-01 00:00:00,51
2022-09-01 00:00:00,38
2022-10-01 00:00:00,50
2022-11-01 00:00:00,74
2022-12-01 00:00:00,87
