,MVT_GT_New Orleans LA
04/01/2015 00:00:00,60
04/01/2016 00:00:00,57
05/01/2016 00:00:00,65
06/01/2016 00:00:00,43
08/01/2016 00:00:00,100
02/01/2017 00:00:00,50
03/01/2017 00:00:00,35
07/01/2017 00:00:00,44
09/01/2017 00:00:00,56
10/01/2017 00:00:00,41
11/01/2017 00:00:00,45
12/01/2017 00:00:00,47
07/01/2018 00:00:00,47
08/01/2018 00:00:00,40
09/01/2018 00:00:00,52
11/01/2018 00:00:00,53
12/01/2018 00:00:00,56
01/01/2019 00:00:00,39
03/01/2019 00:00:00,39
04/01/2019 00:00:00,52
05/01/2019 00:00:00,41
06/01/2019 00:00:00,45
07/01/2019 00:00:00,48
01/01/2020 00:00:00,74
02/01/2020 00:00:00,55
03/01/2020 00:00:00,34
04/01/2020 00:00:00,53
05/01/2020 00:00:00,37
06/01/2020 00:00:00,36
08/01/2020 00:00:00,44
09/01/2020 00:00:00,50
10/01/2020 00:00:00,54
04/01/2021 00:00:00,52
11/01/2021 00:00:00,46
12/01/2021 00:00:00,37
01/01/2022 00:00:00,55
02/01/2022 00:00:00,59
03/01/2022 00:00:00,69
04/01/2022 00:00:00,65
05/01/2022 00:00:00,38
07/01/2022 00:00:00,73
08/01/2022 00:00:00,59
09/01/2022 00:00:00,34
11/01/2022 00:00:00,45
12/01/2022 00:00:00,55
