,MVT_GT_Colorado Springs-Pueblo CO
2015-04-01 00:00:00,40
2015-05-01 00:00:00,75
2015-07-01 00:00:00,57
2015-08-01 00:00:00,74
2016-01-01 00:00:00,21
2016-05-01 00:00:00,51
2016-06-01 00:00:00,43
2016-08-01 00:00:00,85
2016-09-01 00:00:00,74
2016-12-01 00:00:00,43
2017-02-01 00:00:00,63
2017-03-01 00:00:00,53
2017-04-01 00:00:00,25
2017-05-01 00:00:00,31
2017-06-01 00:00:00,21
2017-07-01 00:00:00,30
2017-08-01 00:00:00,40
2017-09-01 00:00:00,56
2017-10-01 00:00:00,49
2017-11-01 00:00:00,83
2017-12-01 00:00:00,40
2018-01-01 00:00:00,57
2018-02-01 00:00:00,44
2018-03-01 00:00:00,29
2018-05-01 00:00:00,43
2018-06-01 00:00:00,49
2018-07-01 00:00:00,38
2018-08-01 00:00:00,58
2018-09-01 00:00:00,78
2018-10-01 00:00:00,24
2018-11-01 00:00:00,57
2018-12-01 00:00:00,21
2019-01-01 00:00:00,23
2019-02-01 00:00:00,46
2019-03-01 00:00:00,50
2019-04-01 00:00:00,83
2019-05-01 00:00:00,17
2019-06-01 00:00:00,35
2019-07-01 00:00:00,55
2019-11-01 00:00:00,86
2019-12-01 00:00:00,56
2020-01-01 00:00:00,65
2020-02-01 00:00:00,20
2020-03-01 00:00:00,16
2020-04-01 00:00:00,31
2020-05-01 00:00:00,36
2020-06-01 00:00:00,68
2020-07-01 00:00:00,26
2020-08-01 00:00:00,27
2020-09-01 00:00:00,29
2020-10-01 00:00:00,17
2020-12-01 00:00:00,19
2021-02-01 00:00:00,50
2021-03-01 00:00:00,40
2021-04-01 00:00:00,32
2021-05-01 00:00:00,35
2021-07-01 00:00:00,93
2021-08-01 00:00:00,45
2021-09-01 00:00:00,84
2021-10-01 00:00:00,24
2021-11-01 00:00:00,36
2021-12-01 00:00:00,46
2022-02-01 00:00:00,40
2022-03-01 00:00:00,100
2022-04-01 00:00:00,77
2022-05-01 00:00:00,40
2022-06-01 00:00:00,34
2022-07-01 00:00:00,32
2022-08-01 00:00:00,33
2022-09-01 00:00:00,62
2022-10-01 00:00:00,14
2022-11-01 00:00:00,20
