,MVT_GT_Jacksonville FL
2015-02-01 00:00:00,60
2015-03-01 00:00:00,66
2015-09-01 00:00:00,100
2015-12-01 00:00:00,55
2016-01-01 00:00:00,25
2016-02-01 00:00:00,55
2016-05-01 00:00:00,31
2016-06-01 00:00:00,55
2016-07-01 00:00:00,57
2016-08-01 00:00:00,45
2016-09-01 00:00:00,24
2016-12-01 00:00:00,19
2017-02-01 00:00:00,34
2017-03-01 00:00:00,19
2017-04-01 00:00:00,18
2017-05-01 00:00:00,35
2017-06-01 00:00:00,25
2017-07-01 00:00:00,76
2017-08-01 00:00:00,35
2017-09-01 00:00:00,31
2017-11-01 00:00:00,27
2018-01-01 00:00:00,22
2018-02-01 00:00:00,35
2018-03-01 00:00:00,35
2018-04-01 00:00:00,43
2018-05-01 00:00:00,53
2018-06-01 00:00:00,72
2018-07-01 00:00:00,60
2018-08-01 00:00:00,55
2018-09-01 00:00:00,37
2018-10-01 00:00:00,47
2018-11-01 00:00:00,25
2019-01-01 00:00:00,20
2019-03-01 00:00:00,40
2019-04-01 00:00:00,37
2019-05-01 00:00:00,42
2019-07-01 00:00:00,55
2019-08-01 00:00:00,52
2019-09-01 00:00:00,48
2019-11-01 00:00:00,36
2019-12-01 00:00:00,78
2020-01-01 00:00:00,54
2020-02-01 00:00:00,50
2020-04-01 00:00:00,30
2020-05-01 00:00:00,25
2020-06-01 00:00:00,38
2020-08-01 00:00:00,22
2020-09-01 00:00:00,14
2020-10-01 00:00:00,16
2020-12-01 00:00:00,42
2021-01-01 00:00:00,21
2021-03-01 00:00:00,27
2021-05-01 00:00:00,39
2021-06-01 00:00:00,29
2021-08-01 00:00:00,28
2021-09-01 00:00:00,27
2021-11-01 00:00:00,29
2021-12-01 00:00:00,61
2022-02-01 00:00:00,23
2022-03-01 00:00:00,37
2022-04-01 00:00:00,47
2022-05-01 00:00:00,16
2022-07-01 00:00:00,25
2022-08-01 00:00:00,21
2022-09-01 00:00:00,88
2022-10-01 00:00:00,20
2022-11-01 00:00:00,33
2022-12-01 00:00:00,69
