,MVT_GT_Cincinnati OH
04/01/2015 00:00:00,59
03/01/2016 00:00:00,57
07/01/2016 00:00:00,40
10/01/2016 00:00:00,52
11/01/2016 00:00:00,61
03/01/2017 00:00:00,38
05/01/2017 00:00:00,39
06/01/2017 00:00:00,62
07/01/2017 00:00:00,55
08/01/2017 00:00:00,34
12/01/2017 00:00:00,53
02/01/2018 00:00:00,46
03/01/2018 00:00:00,56
07/01/2018 00:00:00,39
08/01/2018 00:00:00,60
09/01/2018 00:00:00,44
10/01/2018 00:00:00,42
12/01/2018 00:00:00,32
02/01/2019 00:00:00,48
04/01/2019 00:00:00,43
07/01/2019 00:00:00,40
08/01/2019 00:00:00,67
09/01/2019 00:00:00,34
12/01/2019 00:00:00,35
01/01/2020 00:00:00,45
02/01/2020 00:00:00,48
03/01/2020 00:00:00,41
04/01/2020 00:00:00,24
05/01/2020 00:00:00,35
07/01/2020 00:00:00,32
08/01/2020 00:00:00,51
09/01/2020 00:00:00,33
10/01/2020 00:00:00,55
12/01/2020 00:00:00,43
01/01/2021 00:00:00,38
02/01/2021 00:00:00,35
03/01/2021 00:00:00,48
06/01/2021 00:00:00,51
08/01/2021 00:00:00,35
10/01/2021 00:00:00,76
11/01/2021 00:00:00,72
01/01/2022 00:00:00,37
03/01/2022 00:00:00,46
04/01/2022 00:00:00,60
06/01/2022 00:00:00,42
07/01/2022 00:00:00,64
08/01/2022 00:00:00,75
09/01/2022 00:00:00,77
10/01/2022 00:00:00,73
11/01/2022 00:00:00,29
12/01/2022 00:00:00,100
