,MVT_GT_Fresno-Visalia CA
2015-01-01 00:00:00,44
2015-03-01 00:00:00,29
2015-04-01 00:00:00,25
2015-05-01 00:00:00,29
2015-06-01 00:00:00,25
2015-07-01 00:00:00,70
2015-08-01 00:00:00,81
2015-09-01 00:00:00,62
2015-11-01 00:00:00,34
2016-02-01 00:00:00,25
2016-03-01 00:00:00,24
2016-04-01 00:00:00,54
2016-05-01 00:00:00,54
2016-06-01 00:00:00,87
2016-07-01 00:00:00,34
2016-08-01 00:00:00,33
2016-10-01 00:00:00,57
2016-11-01 00:00:00,48
2016-12-01 00:00:00,38
2017-01-01 00:00:00,36
2017-03-01 00:00:00,30
2017-04-01 00:00:00,17
2017-06-01 00:00:00,31
2017-07-01 00:00:00,100
2017-08-01 00:00:00,22
2017-09-01 00:00:00,58
2017-10-01 00:00:00,44
2017-11-01 00:00:00,37
2017-12-01 00:00:00,34
2018-01-01 00:00:00,37
2018-02-01 00:00:00,33
2018-03-01 00:00:00,41
2018-04-01 00:00:00,42
2018-05-01 00:00:00,19
2018-06-01 00:00:00,19
2018-07-01 00:00:00,37
2018-08-01 00:00:00,38
2018-09-01 00:00:00,36
2018-10-01 00:00:00,57
2018-11-01 00:00:00,43
2018-12-01 00:00:00,62
2019-01-01 00:00:00,16
2019-02-01 00:00:00,33
2019-03-01 00:00:00,44
2019-05-01 00:00:00,32
2019-07-01 00:00:00,45
2019-08-01 00:00:00,23
2019-09-01 00:00:00,65
2019-10-01 00:00:00,72
2019-11-01 00:00:00,52
2019-12-01 00:00:00,41
2020-01-01 00:00:00,49
2020-02-01 00:00:00,48
2020-03-01 00:00:00,37
2020-04-01 00:00:00,45
2020-05-01 00:00:00,17
2020-07-01 00:00:00,51
2020-09-01 00:00:00,57
2020-10-01 00:00:00,24
2020-11-01 00:00:00,67
2020-12-01 00:00:00,48
2021-01-01 00:00:00,16
2021-02-01 00:00:00,44
2021-03-01 00:00:00,31
2021-04-01 00:00:00,18
2021-05-01 00:00:00,34
2021-06-01 00:00:00,23
2021-07-01 00:00:00,64
2021-08-01 00:00:00,58
2021-09-01 00:00:00,55
2021-12-01 00:00:00,49
2022-02-01 00:00:00,41
2022-03-01 00:00:00,34
2022-04-01 00:00:00,49
2022-05-01 00:00:00,58
2022-06-01 00:00:00,38
2022-08-01 00:00:00,42
2022-09-01 00:00:00,24
2022-10-01 00:00:00,47
2022-11-01 00:00:00,24
2022-12-01 00:00:00,20
