,MVT_GT_Omaha NE
2015-01-01 00:00:00,28
2015-03-01 00:00:00,52
2015-05-01 00:00:00,59
2015-07-01 00:00:00,50
2015-08-01 00:00:00,74
2015-10-01 00:00:00,60
2015-11-01 00:00:00,32
2016-01-01 00:00:00,90
2016-04-01 00:00:00,33
2016-06-01 00:00:00,46
2016-08-01 00:00:00,49
2016-09-01 00:00:00,31
2016-10-01 00:00:00,72
2016-11-01 00:00:00,43
2017-02-01 00:00:00,28
2017-04-01 00:00:00,43
2017-05-01 00:00:00,63
2017-07-01 00:00:00,23
2017-08-01 00:00:00,32
2017-09-01 00:00:00,57
2017-10-01 00:00:00,56
2017-11-01 00:00:00,48
2018-01-01 00:00:00,23
2018-05-01 00:00:00,56
2018-06-01 00:00:00,27
2018-07-01 00:00:00,37
2018-09-01 00:00:00,56
2018-10-01 00:00:00,64
2018-12-01 00:00:00,51
2019-01-01 00:00:00,100
2019-03-01 00:00:00,39
2019-04-01 00:00:00,29
2019-05-01 00:00:00,84
2019-07-01 00:00:00,84
2019-08-01 00:00:00,53
2019-09-01 00:00:00,18
2019-10-01 00:00:00,28
2019-11-01 00:00:00,36
2019-12-01 00:00:00,70
2020-01-01 00:00:00,16
2020-02-01 00:00:00,48
2020-04-01 00:00:00,15
2020-05-01 00:00:00,32
2020-06-01 00:00:00,38
2020-08-01 00:00:00,22
2020-09-01 00:00:00,68
2020-10-01 00:00:00,21
2020-11-01 00:00:00,27
2020-12-01 00:00:00,43
2021-02-01 00:00:00,32
2021-05-01 00:00:00,34
2021-08-01 00:00:00,20
2021-09-01 00:00:00,25
2021-10-01 00:00:00,53
2021-12-01 00:00:00,61
2022-01-01 00:00:00,50
2022-02-01 00:00:00,28
2022-03-01 00:00:00,31
2022-04-01 00:00:00,58
2022-05-01 00:00:00,33
2022-09-01 00:00:00,86
2022-12-01 00:00:00,47
