,MVT_GT_Tucson AZ
2015-01-01 00:00:00,45
2015-03-01 00:00:00,100
2015-04-01 00:00:00,53
2015-07-01 00:00:00,39
2015-09-01 00:00:00,50
2015-11-01 00:00:00,36
2015-12-01 00:00:00,26
2016-01-01 00:00:00,44
2016-04-01 00:00:00,62
2016-09-01 00:00:00,61
2016-11-01 00:00:00,24
2017-02-01 00:00:00,48
2017-04-01 00:00:00,21
2017-07-01 00:00:00,78
2017-11-01 00:00:00,87
2017-12-01 00:00:00,63
2018-03-01 00:00:00,21
2018-04-01 00:00:00,31
2018-06-01 00:00:00,40
2018-12-01 00:00:00,41
2019-02-01 00:00:00,18
2019-03-01 00:00:00,31
2019-04-01 00:00:00,51
2019-05-01 00:00:00,37
2019-08-01 00:00:00,31
2019-11-01 00:00:00,28
2019-12-01 00:00:00,33
2020-01-01 00:00:00,45
2020-05-01 00:00:00,19
2020-06-01 00:00:00,49
2020-07-01 00:00:00,47
2020-09-01 00:00:00,24
2020-10-01 00:00:00,22
2020-11-01 00:00:00,27
2021-06-01 00:00:00,23
2021-09-01 00:00:00,31
2021-11-01 00:00:00,50
2021-12-01 00:00:00,30
2022-03-01 00:00:00,90
2022-04-01 00:00:00,32
2022-05-01 00:00:00,13
2022-06-01 00:00:00,28
2022-09-01 00:00:00,22
2022-10-01 00:00:00,22
2022-11-01 00:00:00,25
2022-12-01 00:00:00,52
