,MVT_GT_New Orleans LA
04/01/2016 00:00:00,53
05/01/2016 00:00:00,51
08/01/2016 00:00:00,100
11/01/2016 00:00:00,42
12/01/2016 00:00:00,49
06/01/2017 00:00:00,35
10/01/2017 00:00:00,51
11/01/2017 00:00:00,51
01/01/2018 00:00:00,41
03/01/2018 00:00:00,35
09/01/2018 00:00:00,45
11/01/2018 00:00:00,53
12/01/2018 00:00:00,75
05/01/2019 00:00:00,41
07/01/2019 00:00:00,39
08/01/2019 00:00:00,48
11/01/2019 00:00:00,30
01/01/2020 00:00:00,79
02/01/2020 00:00:00,52
03/01/2020 00:00:00,27
04/01/2020 00:00:00,52
09/01/2020 00:00:00,35
10/01/2020 00:00:00,47
01/01/2021 00:00:00,30
03/01/2021 00:00:00,30
04/01/2021 00:00:00,33
05/01/2021 00:00:00,33
12/01/2021 00:00:00,38
01/01/2022 00:00:00,56
02/01/2022 00:00:00,58
03/01/2022 00:00:00,36
04/01/2022 00:00:00,44
05/01/2022 00:00:00,35
07/01/2022 00:00:00,84
08/01/2022 00:00:00,34
10/01/2022 00:00:00,71
11/01/2022 00:00:00,49
12/01/2022 00:00:00,53
