,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,63
05/01/2015 00:00:00,65
02/01/2016 00:00:00,38
03/01/2016 00:00:00,100
08/01/2016 00:00:00,50
10/01/2016 00:00:00,47
11/01/2016 00:00:00,66
01/01/2017 00:00:00,45
03/01/2017 00:00:00,52
05/01/2017 00:00:00,53
06/01/2017 00:00:00,46
07/01/2017 00:00:00,86
11/01/2017 00:00:00,42
12/01/2017 00:00:00,54
03/01/2018 00:00:00,62
08/01/2018 00:00:00,64
09/01/2018 00:00:00,54
10/01/2018 00:00:00,47
12/01/2018 00:00:00,49
02/01/2019 00:00:00,36
04/01/2019 00:00:00,39
06/01/2019 00:00:00,34
07/01/2019 00:00:00,37
08/01/2019 00:00:00,79
09/01/2019 00:00:00,39
10/01/2019 00:00:00,62
11/01/2019 00:00:00,38
12/01/2019 00:00:00,36
01/01/2020 00:00:00,51
02/01/2020 00:00:00,53
03/01/2020 00:00:00,46
04/01/2020 00:00:00,41
05/01/2020 00:00:00,47
06/01/2020 00:00:00,31
07/01/2020 00:00:00,44
08/01/2020 00:00:00,39
09/01/2020 00:00:00,50
10/01/2020 00:00:00,66
11/01/2020 00:00:00,35
12/01/2020 00:00:00,35
01/01/2021 00:00:00,43
02/01/2021 00:00:00,52
03/01/2021 00:00:00,45
05/01/2021 00:00:00,47
06/01/2021 00:00:00,78
07/01/2021 00:00:00,56
09/01/2021 00:00:00,49
10/01/2021 00:00:00,83
11/01/2021 00:00:00,36
12/01/2021 00:00:00,49
01/01/2022 00:00:00,82
02/01/2022 00:00:00,44
03/01/2022 00:00:00,62
04/01/2022 00:00:00,43
05/01/2022 00:00:00,31
07/01/2022 00:00:00,91
08/01/2022 00:00:00,79
09/01/2022 00:00:00,95
10/01/2022 00:00:00,86
11/01/2022 00:00:00,40
12/01/2022 00:00:00,86
