,MVT_GT_New Orleans LA
08/01/2016 00:00:00,80
01/01/2017 00:00:00,39
03/01/2017 00:00:00,39
06/01/2017 00:00:00,54
08/01/2017 00:00:00,43
12/01/2017 00:00:00,61
01/01/2018 00:00:00,42
02/01/2018 00:00:00,44
08/01/2018 00:00:00,44
09/01/2018 00:00:00,42
11/01/2018 00:00:00,92
12/01/2018 00:00:00,67
01/01/2019 00:00:00,42
03/01/2019 00:00:00,48
05/01/2019 00:00:00,57
06/01/2019 00:00:00,43
07/01/2019 00:00:00,47
08/01/2019 00:00:00,49
09/01/2019 00:00:00,34
11/01/2019 00:00:00,33
12/01/2019 00:00:00,53
01/01/2020 00:00:00,100
02/01/2020 00:00:00,44
03/01/2020 00:00:00,40
04/01/2020 00:00:00,63
05/01/2020 00:00:00,29
06/01/2020 00:00:00,40
07/01/2020 00:00:00,35
08/01/2020 00:00:00,49
09/01/2020 00:00:00,42
11/01/2020 00:00:00,81
03/01/2021 00:00:00,51
04/01/2021 00:00:00,40
05/01/2021 00:00:00,54
06/01/2021 00:00:00,49
10/01/2021 00:00:00,42
12/01/2021 00:00:00,34
01/01/2022 00:00:00,71
02/01/2022 00:00:00,74
03/01/2022 00:00:00,52
04/01/2022 00:00:00,63
05/01/2022 00:00:00,53
06/01/2022 00:00:00,55
07/01/2022 00:00:00,76
08/01/2022 00:00:00,53
11/01/2022 00:00:00,81
12/01/2022 00:00:00,58
