,MVT_GT_New Orleans LA
01/01/2015 00:00:00,58
10/01/2015 00:00:00,87
12/01/2015 00:00:00,94
08/01/2016 00:00:00,64
10/01/2016 00:00:00,59
12/01/2016 00:00:00,78
01/01/2017 00:00:00,64
02/01/2017 00:00:00,48
06/01/2017 00:00:00,63
07/01/2017 00:00:00,55
08/01/2017 00:00:00,57
09/01/2017 00:00:00,48
10/01/2017 00:00:00,58
11/01/2017 00:00:00,64
12/01/2017 00:00:00,48
01/01/2018 00:00:00,46
02/01/2018 00:00:00,51
03/01/2018 00:00:00,40
04/01/2018 00:00:00,77
08/01/2018 00:00:00,54
09/01/2018 00:00:00,77
11/01/2018 00:00:00,71
12/01/2018 00:00:00,64
01/01/2019 00:00:00,41
02/01/2019 00:00:00,47
05/01/2019 00:00:00,58
06/01/2019 00:00:00,76
07/01/2019 00:00:00,45
11/01/2019 00:00:00,47
01/01/2020 00:00:00,100
02/01/2020 00:00:00,63
03/01/2020 00:00:00,40
04/01/2020 00:00:00,75
06/01/2020 00:00:00,45
07/01/2020 00:00:00,38
08/01/2020 00:00:00,52
09/01/2020 00:00:00,60
10/01/2020 00:00:00,74
01/01/2021 00:00:00,48
03/01/2021 00:00:00,42
04/01/2021 00:00:00,59
05/01/2021 00:00:00,51
06/01/2021 00:00:00,39
09/01/2021 00:00:00,55
02/01/2022 00:00:00,76
03/01/2022 00:00:00,43
04/01/2022 00:00:00,65
05/01/2022 00:00:00,56
06/01/2022 00:00:00,41
07/01/2022 00:00:00,95
08/01/2022 00:00:00,62
09/01/2022 00:00:00,54
10/01/2022 00:00:00,47
12/01/2022 00:00:00,62
