,MVT_GT_Tulsa OK
2015-01-01 00:00:00,37
2015-03-01 00:00:00,50
2015-05-01 00:00:00,17
2015-06-01 00:00:00,16
2015-08-01 00:00:00,19
2015-09-01 00:00:00,36
2015-10-01 00:00:00,9
2015-11-01 00:00:00,10
2016-01-01 00:00:00,13
2016-03-01 00:00:00,11
2016-06-01 00:00:00,14
2016-07-01 00:00:00,20
2016-08-01 00:00:00,14
2016-10-01 00:00:00,9
2016-11-01 00:00:00,23
2016-12-01 00:00:00,29
2017-01-01 00:00:00,16
2017-04-01 00:00:00,9
2017-07-01 00:00:00,30
2017-10-01 00:00:00,14
2018-02-01 00:00:00,13
2018-04-01 00:00:00,16
2018-05-01 00:00:00,27
2018-06-01 00:00:00,25
2018-08-01 00:00:00,13
2018-09-01 00:00:00,8
2018-12-01 00:00:00,100
2019-01-01 00:00:00,22
2019-05-01 00:00:00,17
2019-06-01 00:00:00,25
2019-08-01 00:00:00,21
2019-09-01 00:00:00,9
2019-11-01 00:00:00,17
2019-12-01 00:00:00,13
2020-01-01 00:00:00,17
2020-02-01 00:00:00,20
2020-03-01 00:00:00,15
2020-04-01 00:00:00,8
2020-05-01 00:00:00,9
2020-06-01 00:00:00,7
2020-07-01 00:00:00,20
2020-08-01 00:00:00,38
2020-09-01 00:00:00,8
2020-10-01 00:00:00,12
2020-11-01 00:00:00,18
2020-12-01 00:00:00,9
2021-01-01 00:00:00,17
2021-02-01 00:00:00,10
2021-03-01 00:00:00,24
2021-04-01 00:00:00,18
2021-05-01 00:00:00,14
2021-08-01 00:00:00,16
2021-09-01 00:00:00,21
2021-10-01 00:00:00,15
2021-11-01 00:00:00,11
2022-01-01 00:00:00,17
2022-02-01 00:00:00,24
2022-03-01 00:00:00,23
2022-04-01 00:00:00,12
2022-05-01 00:00:00,20
2022-06-01 00:00:00,16
2022-07-01 00:00:00,19
2022-08-01 00:00:00,7
2022-09-01 00:00:00,19
2022-11-01 00:00:00,9
2022-12-01 00:00:00,11
