,MVT_GT_Omaha NE
2015-01-01 00:00:00,22
2015-02-01 00:00:00,28
2015-03-01 00:00:00,29
2015-04-01 00:00:00,28
2015-10-01 00:00:00,23
2015-11-01 00:00:00,45
2016-01-01 00:00:00,42
2016-03-01 00:00:00,25
2016-05-01 00:00:00,18
2016-06-01 00:00:00,18
2016-08-01 00:00:00,34
2016-09-01 00:00:00,40
2016-10-01 00:00:00,100
2016-11-01 00:00:00,67
2016-12-01 00:00:00,32
2017-02-01 00:00:00,18
2017-04-01 00:00:00,67
2017-05-01 00:00:00,38
2017-06-01 00:00:00,26
2017-08-01 00:00:00,43
2017-11-01 00:00:00,29
2018-01-01 00:00:00,31
2018-02-01 00:00:00,19
2018-05-01 00:00:00,90
2018-06-01 00:00:00,23
2018-08-01 00:00:00,25
2018-09-01 00:00:00,19
2018-10-01 00:00:00,36
2019-04-01 00:00:00,45
2019-05-01 00:00:00,74
2019-06-01 00:00:00,21
2019-07-01 00:00:00,69
2019-08-01 00:00:00,37
2019-09-01 00:00:00,25
2019-11-01 00:00:00,79
2020-02-01 00:00:00,34
2020-04-01 00:00:00,29
2020-05-01 00:00:00,33
2020-06-01 00:00:00,88
2020-08-01 00:00:00,26
2020-09-01 00:00:00,30
2020-10-01 00:00:00,41
2021-01-01 00:00:00,31
2021-03-01 00:00:00,31
2021-04-01 00:00:00,33
2021-05-01 00:00:00,34
2021-07-01 00:00:00,17
2021-08-01 00:00:00,97
2021-10-01 00:00:00,58
2021-11-01 00:00:00,42
2021-12-01 00:00:00,64
2022-01-01 00:00:00,86
2022-02-01 00:00:00,18
2022-03-01 00:00:00,67
2022-04-01 00:00:00,41
2022-05-01 00:00:00,23
2022-06-01 00:00:00,32
2022-07-01 00:00:00,27
2022-08-01 00:00:00,53
2022-09-01 00:00:00,50
2022-10-01 00:00:00,30
2022-11-01 00:00:00,57
2022-12-01 00:00:00,55
