,MVT_GT_Wichita-Hutchinson KS
2015-01-01 00:00:00,26
2015-02-01 00:00:00,40
2015-04-01 00:00:00,29
2015-05-01 00:00:00,28
2015-06-01 00:00:00,37
2015-07-01 00:00:00,71
2015-11-01 00:00:00,79
2015-12-01 00:00:00,34
2016-04-01 00:00:00,36
2016-06-01 00:00:00,37
2016-08-01 00:00:00,21
2016-09-01 00:00:00,59
2016-11-01 00:00:00,24
2017-01-01 00:00:00,36
2017-05-01 00:00:00,48
2017-07-01 00:00:00,46
2017-10-01 00:00:00,64
2017-11-01 00:00:00,55
2017-12-01 00:00:00,56
2018-01-01 00:00:00,40
2018-03-01 00:00:00,34
2018-04-01 00:00:00,37
2018-05-01 00:00:00,57
2018-06-01 00:00:00,64
2018-07-01 00:00:00,66
2018-08-01 00:00:00,43
2018-09-01 00:00:00,96
2018-11-01 00:00:00,32
2018-12-01 00:00:00,58
2019-01-01 00:00:00,61
2019-02-01 00:00:00,40
2019-03-01 00:00:00,19
2019-04-01 00:00:00,21
2019-05-01 00:00:00,93
2019-06-01 00:00:00,100
2019-07-01 00:00:00,17
2019-10-01 00:00:00,40
2019-11-01 00:00:00,32
2020-01-01 00:00:00,31
2020-02-01 00:00:00,28
2020-05-01 00:00:00,38
2020-08-01 00:00:00,37
2020-09-01 00:00:00,23
2020-10-01 00:00:00,23
2020-11-01 00:00:00,19
2020-12-01 00:00:00,59
2021-01-01 00:00:00,24
2021-02-01 00:00:00,23
2021-03-01 00:00:00,41
2021-04-01 00:00:00,23
2021-05-01 00:00:00,50
2021-08-01 00:00:00,45
2021-09-01 00:00:00,41
2021-11-01 00:00:00,21
2021-12-01 00:00:00,17
2022-02-01 00:00:00,48
2022-03-01 00:00:00,57
2022-04-01 00:00:00,17
2022-06-01 00:00:00,32
2022-07-01 00:00:00,47
2022-08-01 00:00:00,53
2022-09-01 00:00:00,41
2022-10-01 00:00:00,25
2022-12-01 00:00:00,49
