,MVT_GT_Bakersfield CA
2015-05-01 00:00:00,25
2015-09-01 00:00:00,100
2016-01-01 00:00:00,26
2016-02-01 00:00:00,40
2016-07-01 00:00:00,16
2016-10-01 00:00:00,41
2016-12-01 00:00:00,15
2017-02-01 00:00:00,18
2017-03-01 00:00:00,28
2017-04-01 00:00:00,39
2017-07-01 00:00:00,36
2017-09-01 00:00:00,38
2017-10-01 00:00:00,22
2017-12-01 00:00:00,43
2018-02-01 00:00:00,40
2019-04-01 00:00:00,12
2019-07-01 00:00:00,44
2019-08-01 00:00:00,30
2019-10-01 00:00:00,17
2019-12-01 00:00:00,16
2020-01-01 00:00:00,12
2020-03-01 00:00:00,13
2020-04-01 00:00:00,11
2020-05-01 00:00:00,9
2020-07-01 00:00:00,29
2020-08-01 00:00:00,15
2020-09-01 00:00:00,12
2020-10-01 00:00:00,10
2020-11-01 00:00:00,13
2021-05-01 00:00:00,13
2021-06-01 00:00:00,24
2021-07-01 00:00:00,35
2021-10-01 00:00:00,23
2021-11-01 00:00:00,18
2021-12-01 00:00:00,17
2022-02-01 00:00:00,15
2022-03-01 00:00:00,9
2022-04-01 00:00:00,24
2022-05-01 00:00:00,14
2022-07-01 00:00:00,12
2022-08-01 00:00:00,23
2022-10-01 00:00:00,32
2022-11-01 00:00:00,10
2022-12-01 00:00:00,32
