,MVT_GT_Charlotte NC
2015-03-01 00:00:00,100
2015-08-01 00:00:00,39
2015-11-01 00:00:00,38
2016-04-01 00:00:00,45
2016-07-01 00:00:00,81
2016-08-01 00:00:00,20
2016-10-01 00:00:00,74
2016-11-01 00:00:00,43
2017-01-01 00:00:00,61
2017-02-01 00:00:00,67
2017-03-01 00:00:00,63
2017-04-01 00:00:00,44
2017-05-01 00:00:00,36
2017-06-01 00:00:00,63
2017-08-01 00:00:00,64
2017-11-01 00:00:00,56
2017-12-01 00:00:00,74
2018-03-01 00:00:00,44
2018-04-01 00:00:00,40
2018-05-01 00:00:00,64
2018-06-01 00:00:00,44
2018-07-01 00:00:00,73
2018-10-01 00:00:00,41
2018-11-01 00:00:00,38
2018-12-01 00:00:00,54
2019-01-01 00:00:00,72
2019-02-01 00:00:00,89
2019-03-01 00:00:00,46
2019-05-01 00:00:00,30
2019-06-01 00:00:00,64
2019-08-01 00:00:00,47
2019-09-01 00:00:00,39
2019-11-01 00:00:00,62
2020-01-01 00:00:00,38
2020-04-01 00:00:00,40
2020-07-01 00:00:00,80
2021-01-01 00:00:00,41
2021-02-01 00:00:00,72
2021-03-01 00:00:00,66
2021-05-01 00:00:00,74
2021-06-01 00:00:00,79
2021-07-01 00:00:00,20
2021-09-01 00:00:00,58
2021-10-01 00:00:00,53
2021-11-01 00:00:00,79
2021-12-01 00:00:00,56
2022-01-01 00:00:00,48
2022-03-01 00:00:00,46
2022-04-01 00:00:00,67
2022-05-01 00:00:00,70
2022-07-01 00:00:00,84
2022-09-01 00:00:00,98
2022-10-01 00:00:00,77
