,MVT_GT_Memphis TN
2015-08-01 00:00:00,33
2015-10-01 00:00:00,39
2016-01-01 00:00:00,25
2016-02-01 00:00:00,16
2016-04-01 00:00:00,64
2016-06-01 00:00:00,17
2016-07-01 00:00:00,35
2016-08-01 00:00:00,25
2016-09-01 00:00:00,34
2016-11-01 00:00:00,29
2017-03-01 00:00:00,18
2017-05-01 00:00:00,47
2017-06-01 00:00:00,41
2017-08-01 00:00:00,27
2017-10-01 00:00:00,56
2017-11-01 00:00:00,33
2017-12-01 00:00:00,23
2018-01-01 00:00:00,40
2018-03-01 00:00:00,24
2018-04-01 00:00:00,30
2018-07-01 00:00:00,33
2018-08-01 00:00:00,13
2018-09-01 00:00:00,13
2018-10-01 00:00:00,28
2018-12-01 00:00:00,17
2019-02-01 00:00:00,34
2019-04-01 00:00:00,25
2019-05-01 00:00:00,30
2019-07-01 00:00:00,14
2019-08-01 00:00:00,19
2019-09-01 00:00:00,24
2019-10-01 00:00:00,27
2019-11-01 00:00:00,36
2019-12-01 00:00:00,28
2020-02-01 00:00:00,18
2020-04-01 00:00:00,30
2020-05-01 00:00:00,37
2020-06-01 00:00:00,61
2020-07-01 00:00:00,26
2020-08-01 00:00:00,38
2020-09-01 00:00:00,25
2020-10-01 00:00:00,20
2020-11-01 00:00:00,13
2020-12-01 00:00:00,28
2021-01-01 00:00:00,16
2021-02-01 00:00:00,21
2021-03-01 00:00:00,35
2021-05-01 00:00:00,11
2021-06-01 00:00:00,31
2021-07-01 00:00:00,30
2021-08-01 00:00:00,61
2021-09-01 00:00:00,100
2021-10-01 00:00:00,31
2021-12-01 00:00:00,24
2022-01-01 00:00:00,17
2022-02-01 00:00:00,34
2022-04-01 00:00:00,26
2022-05-01 00:00:00,40
2022-06-01 00:00:00,14
2022-07-01 00:00:00,40
2022-08-01 00:00:00,38
2022-09-01 00:00:00,19
2022-10-01 00:00:00,44
2022-11-01 00:00:00,36
2022-12-01 00:00:00,59
