,MVT_GT_Cincinnati OH
08/01/2015 00:00:00,100
01/01/2016 00:00:00,64
03/01/2016 00:00:00,72
06/01/2016 00:00:00,52
07/01/2016 00:00:00,66
11/01/2016 00:00:00,56
01/01/2017 00:00:00,47
03/01/2017 00:00:00,34
05/01/2017 00:00:00,52
08/01/2017 00:00:00,36
10/01/2017 00:00:00,34
11/01/2017 00:00:00,40
12/01/2017 00:00:00,53
03/01/2018 00:00:00,74
04/01/2018 00:00:00,49
08/01/2018 00:00:00,72
09/01/2018 00:00:00,34
10/01/2018 00:00:00,36
12/01/2018 00:00:00,37
02/01/2019 00:00:00,64
04/01/2019 00:00:00,35
05/01/2019 00:00:00,46
06/01/2019 00:00:00,44
07/01/2019 00:00:00,47
08/01/2019 00:00:00,69
09/01/2019 00:00:00,45
10/01/2019 00:00:00,37
11/01/2019 00:00:00,33
12/01/2019 00:00:00,88
01/01/2020 00:00:00,45
02/01/2020 00:00:00,36
03/01/2020 00:00:00,34
05/01/2020 00:00:00,38
06/01/2020 00:00:00,32
08/01/2020 00:00:00,81
09/01/2020 00:00:00,33
12/01/2020 00:00:00,55
01/01/2021 00:00:00,40
03/01/2021 00:00:00,64
06/01/2021 00:00:00,51
07/01/2021 00:00:00,36
08/01/2021 00:00:00,42
10/01/2021 00:00:00,96
12/01/2021 00:00:00,35
01/01/2022 00:00:00,53
02/01/2022 00:00:00,40
03/01/2022 00:00:00,71
04/01/2022 00:00:00,47
06/01/2022 00:00:00,48
07/01/2022 00:00:00,78
08/01/2022 00:00:00,69
09/01/2022 00:00:00,96
10/01/2022 00:00:00,81
11/01/2022 00:00:00,32
12/01/2022 00:00:00,86
